 Ranking , Company , Sector ,"G?nero
œÓÎ (ÌÂÚ ‚ ÓÒÌÓ‚ÌÓÈ Ú‡·ÎËˆÂ)", Country , Ventas , neto , oper , Activo ,"Pasivo total (mdp) 
—ÛÏÏ‡ Ô‡ÒÒË‚‡ (‚ ·‡Î‡ÌÒÂ) (ÏËÎÎËÓÌ˚ ÔÂÒÓ)", Empl , Posici?n en el ranking 2020 , Roe , Ranking Ganado 
122,Pilgrim's Pride M?xico,Alimentos y bebidas,H,Estados Unidos," 350†657,00 ", nd ," 46†383,00 "," 236†754,00 ", nd , nd ," 122,00 ", nd ,0
123,Seguros Monterrey New York Life,Seguros y fianzas,H,Estados Unidos," 345†315,00 "," 24†296,00 ","-41†885,00 "," 142†274,00 "," 1†268†978,00 "," 1†500,00 "," 110,00 "," 158,00 ",-13
124,Mondel?z M?xico,Alimentos y bebidas,H,Estados Unidos," 34†008,00 ", nd ," 2†092,00 ", nd , nd ," 8†000,00 "," 119,00 ", nd ,-5
125,A.P. Moller Maersk M?xico,Log?stica y transporte,H,Dinamarca," 326†594,00 ", nd , nd , nd , nd , nd ," 137,00 ", nd ,12
126,INTERprotecci?n,Seguros y fianzas,H,M?xico," 32†239,00 ", nd , nd , nd , nd ," 832,00 "," 120,00 ", nd ,-6
127,LyondellBasell de M?xico,Qu?mica y petroqu?mica,H,Estados Unidos/Reino Unido," 318†886,00 ", nd , nd ," 62†619,00 ", nd , nd ," 135,00 ", nd ,8
128,Grupo Profuturo,Servicios financieros,H,M?xico," 310†125,00 "," 31†418,00 "," 4†012,00 "," 999†041,00 "," 881†995,00 "," 5†562,00 "," 162,00 "," 268,00 ",34
129,MAPFRE M?xico,Seguros y fianzas,H,Espa?a," 30†989,00 "," 497,00 ","-224,00 "," 50†126,00 "," 46†749,00 "," 1†402,00 "," 175,00 "," 147,00 ",46
130,Hyundai Motor de M?xico,Armadora,M,Corea," 30†000,00 ", nd , nd , nd , nd , nd ," 124,00 ", nd ,-6
131,Aeropuertos y Servicios Auxiliares,Servicios aeroportuarios,H,M?xico," 296†826,00 "," 6†456,00 "," 18†697,00 "," 16†661,00 "," 62†574,00 "," 2†500,00 "," 187,00 "," 62,00 ",56
132,La Comer,Comercio autoservicio,H,M?xico," 289†063,00 "," 15†431,00 "," 18†085,00 "," 32†996,00 "," 7†563,00 "," 14†532,00 "," 127,00 "," 61,00 ",-5
133,Grupo Gigante,Holding,H,M?xico," 288†186,00 "," 17†847,00 "," 31†918,00 "," 482†897,00 "," 259†566,00 "," 19†865,00 "," 133,00 "," 8,00 ",0
134,Zurich M?xico,Seguros y fianzas,H,Suiza," 285†618,00 ", nd , nd ," 15†667,00 "," 13†692,00 "," 1†238,00 "," 143,00 ", nd ,9
135,Afirme Grupo Financiero,Servicios financieros,H,M?xico," 28†339,00 "," 1†327,00 "," 1†206,00 "," 291†156,00 "," 278†789,00 "," 4†305,00 "," 136,00 "," 107,00 ",1
136,AMResorts,Hoteler?a y turismo,H,Estados Unidos," 28†135,00 ", nd ," 9†966,00 ", nd , nd ," 11†063,00 "," 181,00 ", nd ,45
137,Totalplay,Telecomunicaciones,H,M?xico," 280†888,00 ", nd , nd , nd , nd ," 20†000,00 "," 164,00 ", nd ,27
138,Seguros Banorte,Seguros y fianzas,No aplica,M?xico," 277†871,00 "," 4†060,00 "," 48†004,00 "," 627†138,00 "," 402†459,00 ", nd ," 128,00 "," 181,00 ",-10
139,Kansas City Southern de M?xico,Log?stica y transporte,H,Estados Unidos," 27†724,00 ", nd , nd ," 70†905,00 ", nd , nd ," 129,00 ", nd ,-10
